DATE	VALUE	
1-1-2015	0.024455
2-1-2015	0.024377
3-1-2015	0.024297
4-1-2015	0.0221
5-1-2015	0.018943
6-1-2015	0.020325
7-1-2015	0.020727
8-1-2015	0.020843
9-1-2015	0.02065
10-1-2015	0.020623
11-1-2015	0.019244
12-1-2015	0.018782
13-1-2015	0.018428
14-1-2015	0.015611
15-1-2015	0.014204
16-1-2015	0.016449
17-1-2015	0.016393
18-1-2015	0.015386
19-1-2015	0.015657
20-1-2015	0.015947
21-1-2015	0.016108
22-1-2015	0.0167
23-1-2015	0.017013
24-1-2015	0.01672
25-1-2015	0.016703
26-1-2015	0.016586
27-1-2015	0.016007
28-1-2015	0.015836
29-1-2015	0.014966
30-1-2015	0.014691
31-1-2015	0.014441
1-2-2015	0.014286
2-2-2015	0.014137
3-2-2015	0.013658
4-2-2015	0.013027
5-2-2015	0.013503
6-2-2015	0.014473
7-2-2015	0.015186
8-2-2015	0.014576
9-2-2015	0.01443
10-2-2015	0.014003
11-2-2015	0.013643
12-2-2015	0.01378
13-2-2015	0.014031
14-2-2015	0.014564
15-2-2015	0.014941
16-2-2015	0.013745
17-2-2015	0.013751
18-2-2015	0.014028
19-2-2015	0.013806
20-2-2015	0.013741
21-2-2015	0.013462
22-2-2015	0.013289
23-2-2015	0.013124
24-2-2015	0.013351
25-2-2015	0.013403
26-2-2015	0.013405
27-2-2015	0.013294
28-2-2015	0.013357
1-3-2015	0.012992
2-3-2015	0.012233
3-3-2015	0.012191
4-3-2015	0.010222
5-3-2015	0.010056
6-3-2015	0.011552
7-3-2015	0.010858
8-3-2015	0.010528
9-3-2015	0.009963
10-3-2015	0.01064
11-3-2015	0.010087
12-3-2015	0.010227
13-3-2015	0.010352
14-3-2015	0.010487
15-3-2015	0.011095
16-3-2015	0.010825
17-3-2015	0.010966
18-3-2015	0.010929
19-3-2015	0.010593
20-3-2015	0.01048
21-3-2015	0.010445
22-3-2015	0.010181
23-3-2015	0.010198
24-3-2015	0.010313
25-3-2015	0.009764
26-3-2015	0.009115
27-3-2015	0.008764
28-3-2015	0.008888
29-3-2015	0.008851
30-3-2015	0.008499
31-3-2015	0.008452
1-4-2015	0.007772
2-4-2015	0.007666
3-4-2015	0.007905
4-4-2015	0.008717
5-4-2015	0.008847
6-4-2015	0.008749
7-4-2015	0.008775
8-4-2015	0.009067
9-4-2015	0.009192
10-4-2015	0.008776
11-4-2015	0.008515
12-4-2015	0.008299
13-4-2015	0.008612
14-4-2015	0.008193
15-4-2015	0.00816
16-4-2015	0.007955
17-4-2015	0.008014
18-4-2015	0.008042
19-4-2015	0.007899
20-4-2015	0.007841
21-4-2015	0.007933
22-4-2015	0.007975
23-4-2015	0.008027
24-4-2015	0.008018
25-4-2015	0.00808
26-4-2015	0.00829
27-4-2015	0.007742
28-4-2015	0.007764
29-4-2015	0.007633
30-4-2015	0.007857
1-5-2015	0.008035
2-5-2015	0.00802
3-5-2015	0.008036
4-5-2015	0.008057
5-5-2015	0.008017
6-5-2015	0.00792
7-5-2015	0.007787
8-5-2015	0.007531
9-5-2015	0.007492
10-5-2015	0.007572
11-5-2015	0.007379
12-5-2015	0.007365
13-5-2015	0.007209
14-5-2015	0.006853
15-5-2015	0.006603
16-5-2015	0.006655
17-5-2015	0.006586
18-5-2015	0.006327
19-5-2015	0.005746
20-5-2015	0.006537
21-5-2015	0.006636
22-5-2015	0.006573
23-5-2015	0.006639
24-5-2015	0.006798
25-5-2015	0.006843
26-5-2015	0.006928
27-5-2015	0.006792
28-5-2015	0.006941
29-5-2015	0.007837
30-5-2015	0.00906
31-5-2015	0.008403
1-6-2015	0.008276
2-6-2015	0.007582
3-6-2015	0.008007
4-6-2015	0.00801
5-6-2015	0.007884
6-6-2015	0.007956
7-6-2015	0.007906
8-6-2015	0.007867
9-6-2015	0.008009
10-6-2015	0.007984
11-6-2015	0.007999
12-6-2015	0.008041
13-6-2015	0.007994
14-6-2015	0.008093
15-6-2015	0.008146
16-6-2015	0.00858
17-6-2015	0.009427
18-6-2015	0.009689
19-6-2015	0.010279
20-6-2015	0.011288
21-6-2015	0.01103
22-6-2015	0.010295
23-6-2015	0.010568
24-6-2015	0.010667
25-6-2015	0.01091
26-6-2015	0.011048
27-6-2015	0.01129
28-6-2015	0.011444
29-6-2015	0.011487
30-6-2015	0.01197
1-7-2015	0.011317
2-7-2015	0.011195
3-7-2015	0.011038
4-7-2015	0.011099
5-7-2015	0.01077
6-7-2015	0.010021
7-7-2015	0.009882
8-7-2015	0.009572
9-7-2015	0.009467
10-7-2015	0.008956
11-7-2015	0.008848
12-7-2015	0.008611
13-7-2015	0.00861
14-7-2015	0.008565
15-7-2015	0.008638
16-7-2015	0.008513
17-7-2015	0.008061
18-7-2015	0.008023
19-7-2015	0.008061
20-7-2015	0.008093
21-7-2015	0.007951
22-7-2015	0.007708
23-7-2015	0.007579
24-7-2015	0.007486
25-7-2015	0.007655
26-7-2015	0.007888
27-7-2015	0.008116
28-7-2015	0.008565
29-7-2015	0.008451
30-7-2015	0.008517
31-7-2015	0.008494
1-8-2015	0.008438
2-8-2015	0.008225
3-8-2015	0.00823
4-8-2015	0.008277
5-8-2015	0.008264
6-8-2015	0.008225
7-8-2015	0.00802
8-8-2015	0.008164
9-8-2015	0.008484
10-8-2015	0.008812
11-8-2015	0.008751
12-8-2015	0.008591
13-8-2015	0.008267
14-8-2015	0.008148
15-8-2015	0.00833
16-8-2015	0.008419
17-8-2015	0.008314
18-8-2015	0.008301
19-8-2015	0.007526
20-8-2015	0.00776
21-8-2015	0.007871
22-8-2015	0.007878
23-8-2015	0.007722
24-8-2015	0.007553
25-8-2015	0.007399
26-8-2015	0.007133
27-8-2015	0.007474
28-8-2015	0.007555
29-8-2015	0.007427
30-8-2015	0.007751
31-8-2015	0.008061
1-9-2015	0.007884
2-9-2015	0.007821
3-9-2015	0.007692
4-9-2015	0.00743
5-9-2015	0.007352
6-9-2015	0.007861
7-9-2015	0.007889
8-9-2015	0.007917
9-9-2015	0.00783
10-9-2015	0.007685
11-9-2015	0.007661
12-9-2015	0.008447
13-9-2015	0.008197
14-9-2015	0.008535
15-9-2015	0.007398
16-9-2015	0.007721
17-9-2015	0.007427
18-9-2015	0.007383
19-9-2015	0.007527
20-9-2015	0.007482
21-9-2015	0.007633
22-9-2015	0.007245
23-9-2015	0.007167
24-9-2015	0.006668
25-9-2015	0.006707
26-9-2015	0.006651
27-9-2015	0.0065
28-9-2015	0.006535
29-9-2015	0.006291
30-9-2015	0.005582
1-10-2015	0.005518
2-10-2015	0.005445
3-10-2015	0.005855
4-10-2015	0.005515
5-10-2015	0.005237
6-10-2015	0.005009
7-10-2015	0.005328
8-10-2015	0.005375	
9-10-2015	0.005032
10-10-2015	0.004983
11-10-2015	0.005038
12-10-2015	0.005181
13-10-2015	0.005262
14-10-2015	0.005379
15-10-2015	0.005424
16-10-2015	0.005392
17-10-2015	0.0054
18-10-2015	0.005199
19-10-2015	0.004976
20-10-2015	0.005042
21-10-2015	0.004739
22-10-2015	0.004696
23-10-2015	0.004726
24-10-2015	0.004676
25-10-2015	0.004662
26-10-2015	0.00456
27-10-2015	0.004674
28-10-2015	0.004648
29-10-2015	0.00467
30-10-2015	0.004635
31-10-2015	0.00484
1-11-2015	0.004685
2-11-2015	0.004896
3-11-2015	0.00516
4-11-2015	0.005402
5-11-2015	0.004955
6-11-2015	0.0045
7-11-2015	0.004566
8-11-2015	0.004684
9-11-2015	0.00465
10-11-2015	0.004606
11-11-2015	0.004408
12-11-2015	0.004266
13-11-2015	0.004536
14-11-2015	0.004482
15-11-2015	0.004327
16-11-2015	0.004163
17-11-2015	0.004234
18-11-2015	0.004251
19-11-2015	0.004259
20-11-2015	0.004222
21-11-2015	0.004227
22-11-2015	0.004249
23-11-2015	0.004269
24-11-2015	0.004288
25-11-2015	0.004242
26-11-2015	0.004317
27-11-2015	0.004276
28-11-2015	0.004275
29-11-2015	0.004243
30-11-2015	0.004298
1-12-2015	0.004202
2-12-2015	0.004091
3-12-2015	0.004176
4-12-2015	0.004262
5-12-2015	0.004756
6-12-2015	0.005302
7-12-2015	0.005312
8-12-2015	0.005561
9-12-2015	0.006796
10-12-2015	0.008527
11-12-2015	0.008445
12-12-2015	0.008454
13-12-2015	0.008532
14-12-2015	0.008774
15-12-2015	0.0076
16-12-2015	0.006689
17-12-2015	0.006754
18-12-2015	0.006686
19-12-2015	0.006383
20-12-2015	0.006292
21-12-2015	0.006234
22-12-2015	0.006271
23-12-2015	0.006188
24-12-2015	0.006023
25-12-2015	0.005971
26-12-2015	0.006491
27-12-2015	0.006172
28-12-2015	0.006348
29-12-2015	0.006342
30-12-2015	0.006266
31-12-2015	0.006184
1-1-2016	0.00604
2-1-2016	0.005957
3-1-2016	0.006066
4-1-2016	0.006019
5-1-2016	0.005954
6-1-2016	0.006044
7-1-2016	0.005998
8-1-2016	0.00604
9-1-2016	0.005937
10-1-2016	0.005982
11-1-2016	0.005963
12-1-2016	0.005892
13-1-2016	0.005836
14-1-2016	0.005795
15-1-2016	0.005528
16-1-2016	0.005221
17-1-2016	0.00511
18-1-2016	0.00527
19-1-2016	0.00533
20-1-2016	0.005271
21-1-2016	0.00537
22-1-2016	0.005314
23-1-2016	0.005109
24-1-2016	0.005121
25-1-2016	0.005218
26-1-2016	0.005138
27-1-2016	0.005408
28-1-2016	0.006507
29-1-2016	0.006228
30-1-2016	0.006824
31-1-2016	0.006631
1-2-2016	0.006398
2-2-2016	0.006545
3-2-2016	0.006771
4-2-2016	0.006882
5-2-2016	0.006965
6-2-2016	0.007273
7-2-2016	0.007924
8-2-2016	0.008375
9-2-2016	0.007999
10-2-2016	0.007827
11-2-2016	0.007857
12-2-2016	0.007822
13-2-2016	0.007961
14-2-2016	0.008263
15-2-2016	0.008593
16-2-2016	0.008631
17-2-2016	0.008456
18-2-2016	0.008135
19-2-2016	0.007994
20-2-2016	0.008253
21-2-2016	0.008246
